src_ip,dst_ip,src_port,dst_port,num_packets,iat_min,iat_max,iat_mean,pkt_size_min,pkt_size_max,pkt_size_mean,total_bytes,syn_count,rst_count,fin_count
203.77.82.61,175.41.222.193,47594,443,8,4.696846008300781e-05,0.30704808235168457,0.12851456233433314,66,74,67,536,1,0,0
185.24.33.252,133.131.97.161,44349,8037,1,0,0,0,54,54,54,54,1,0,0
213.201.75.202,163.226.131.40,107,80,1,0,0,0,54,54,54,54,1,0,0
112.127.83.164,202.235.218.221,35831,23,1,0,0,0,74,74,74,74,1,0,0
5.245.217.154,150.121.246.117,5320,47666,5,0.0560610294342041,0.31923389434814453,0.22735852003097534,66,66,66,330,0,0,0
206.84.45.116,133.131.94.134,51992,38509,1,0,0,0,74,74,74,74,1,0,0
156.152.9.222,150.121.63.173,4460,23,1,0,0,0,58,58,58,58,1,0,0
212.147.90.233,133.131.190.63,36443,23,2,0.1416311264038086,0.1416311264038086,0.1416311264038086,66,74,70,140,1,0,0
172.212.197.69,133.131.96.173,38767,9200,1,0,0,0,54,54,54,54,1,0,0
167.94.141.231,203.77.124.46,49551,51200,1,0,0,0,74,74,74,74,1,0,0
71.59.86.134,157.81.95.28,23276,37215,1,0,0,0,58,58,58,58,1,0,0
167.172.111.110,150.121.102.251,41382,2091,1,0,0,0,74,74,74,74,1,0,0
162.143.133.149,133.131.137.225,39853,62438,1,0,0,0,74,74,74,74,1,0,0
3.237.210.92,150.121.154.72,47764,8090,1,0,0,0,54,54,54,54,1,0,0
133.152.69.232,142.21.130.51,55224,5228,1,0,0,0,54,54,54,54,0,0,0
80.160.0.247,202.230.249.44,61000,13402,1,0,0,0,54,54,54,54,1,0,0
133.131.190.63,212.147.90.233,23,36443,1,0,0,0,74,74,74,74,1,0,0
95.44.99.66,131.80.186.109,57800,23,1,0,0,0,54,54,54,54,1,0,0
4.153.219.73,203.77.81.221,47501,3479,1,0,0,0,54,54,54,54,1,0,0
133.152.66.9,180.154.220.169,22,25819,2,0.04891490936279297,0.04891490936279297,0.04891490936279297,66,66,66,132,0,0,0
94.156.152.118,163.226.52.46,49571,8728,1,0,0,0,54,54,54,54,1,0,0
174.118.111.253,163.226.83.49,34477,995,1,0,0,0,74,74,74,74,1,0,0
103.64.216.26,150.121.233.215,34390,8728,1,0,0,0,54,54,54,54,1,0,0
18.67.91.75,203.77.108.26,49290,8829,1,0,0,0,54,54,54,54,1,0,0
45.6.2.126,203.77.24.186,45862,53489,1,0,0,0,54,54,54,54,1,0,0
94.156.159.209,202.230.249.36,55645,8728,1,0,0,0,54,54,54,54,1,0,0
89.43.85.29,133.131.189.223,50241,16928,1,0,0,0,58,58,58,58,1,0,0
79.12.198.113,203.77.46.231,52753,3389,1,0,0,0,54,54,54,54,1,0,0
3.115.194.179,150.121.58.2,34808,96,1,0,0,0,54,54,54,54,1,0,0
203.77.82.61,175.41.222.193,47570,443,4,0.04272103309631348,0.15610909461975098,0.10193332036336263,66,66,66,264,0,0,0
172.246.238.98,163.226.140.3,33876,13443,1,0,0,0,74,74,74,74,1,0,0
89.43.81.170,150.121.225.70,42565,18777,1,0,0,0,58,58,58,58,1,0,0
64.48.155.178,133.131.118.148,41205,389,1,0,0,0,54,54,54,54,1,0,0
4.153.219.73,203.77.85.162,48050,3479,1,0,0,0,54,54,54,54,1,0,0
209.56.9.76,203.77.91.153,53691,9092,1,0,0,0,74,74,74,74,1,0,0
78.135.13.133,202.230.192.193,45945,7861,1,0,0,0,54,54,54,54,1,0,0
164.28.148.204,202.101.53.130,49414,8443,1,0,0,0,54,54,54,54,0,0,0
216.231.238.111,150.121.6.104,50921,389,1,0,0,0,54,54,54,54,1,0,0
20.74.22.86,133.131.122.114,39695,9030,1,0,0,0,54,54,54,54,1,0,0
122.244.118.149,150.121.8.6,35058,443,2,0.7558169364929199,0.7558169364929199,0.7558169364929199,54,54,54,108,0,0,0
89.43.81.170,133.131.177.91,42549,18276,1,0,0,0,58,58,58,58,1,0,0
89.43.81.170,150.121.108.185,42565,18820,1,0,0,0,58,58,58,58,1,0,0
79.12.192.29,203.77.88.104,57703,1434,1,0,0,0,58,58,58,58,1,0,0
51.144.153.210,157.81.213.140,43501,8888,1,0,0,0,54,54,54,54,1,0,0
84.33.77.63,203.77.27.182,56639,8788,1,0,0,0,54,54,54,54,1,0,0
175.41.222.193,203.77.82.61,443,47594,8,4.100799560546875e-05,0.31292295455932617,0.12852886744907924,54,74,65.5,524,1,1,1
185.24.33.252,133.131.159.217,39789,8037,1,0,0,0,54,54,54,54,1,0,0
79.12.198.113,133.131.137.159,52753,135,1,0,0,0,54,54,54,54,1,0,0
65.218.148.65,133.131.84.142,40749,389,1,0,0,0,54,54,54,54,1,0,0
18.27.114.84,202.235.217.95,43618,5005,1,0,0,0,54,54,54,54,1,0,0
150.121.88.124,162.159.150.233,55771,443,1,0,0,0,54,54,54,54,0,0,0
156.100.80.205,150.121.88.139,443,50589,1,0,0,0,74,74,74,74,1,0,0
220.114.105.195,163.226.57.101,25673,23,1,0,0,0,54,54,54,54,1,0,0
43.101.129.132,150.121.48.51,11477,3333,1,0,0,0,66,66,66,66,1,0,0
167.172.97.86,150.121.236.80,50759,52223,1,0,0,0,74,74,74,74,1,0,0
156.152.9.222,133.131.179.36,4460,26,1,0,0,0,58,58,58,58,1,0,0
157.250.19.13,192.233.157.94,55116,3388,1,0,0,0,58,58,58,58,1,0,0
